,index,Rating,Archive Warnings,Category,Fandom,Characters,Relationships,Additional Tags,Language,Date Published,Date Updated,Word Count,Chapter Count,Comment Count,Kudos Count,Bookmarks Count,Hits Count
182,3,Explicit,No Archive Warnings Apply,"F/M, Multi",Candela Obscura,"['Marion Collodi', 'Dr. Jinnah ""Jean"" Basar', 'Sean Finnerty']",Jean Basar/Sean Finnerty/Marion Collodi,"['Threesome - F/M/M', 'Magical Laryngitis', 'Established Relationship', 'Bottom Table OT3', 'Hurt/Comfort', 'Hand injury', 'Nonverbal Communication', 'Cunnilingus', 'Vaginal Sex', 'Hand Jobs', 'Quiet Sex']",English,Unknown,2023-09-06 00:00:00,2709,1/1,22,109,13,814
183,4,Not Rated,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['candela obscura - Freeform', 'The Circle of Needle and Thread', 'Smut', 'Porn With Plot', 'Porn with Feelings', 'Tenderness']",English,Unknown,2023-09-06 00:00:00,2363,1/1,1,79,4,568
184,5,Not Rated,Creator Chose Not To Use Archive Warnings,No category,Candela Obscura,"['Marion Collodi', 'Sean Finnerty']",No relationships tagged,['Episode: s02e01 Eye for an Eye (Candela Obscura)'],English,Unknown,2023-09-05 00:00:00,191,1/1,3,52,3,259
185,6,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']","['Marion Collodi & Sean Finnerty', 'Marion Collodi/Sean Finnerty']","['Post-Traumatic Stress Disorder - PTSD', 'Literal Sleeping Together', 'Nightmares', 'POV Second Person', 'Intimacy', 'The Circle of Needle and Thread', 'Emotional Hurt/Comfort', 'Angst and Hurt/Comfort']",English,2023-09-05 00:00:00,2023-09-05 00:00:00,2742,1/1,17,138,14,830
186,7,General Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['Fluff', 'Sharing Clothes', 'love is stored in acts of service', 'Bickering']",English,2023-09-05 00:00:00,2023-09-05 00:00:00,1717,1/1,14,132,10,564
187,8,Explicit,No Archive Warnings Apply,"F/M, Multi",Candela Obscura,"['Dr. Jinnah ""Jean"" Basar', 'Sean Finnerty', 'Marion Collodi']",Jean Basar/Sean Finnerty/Marion Collodi,"['Threesome - F/M/M', 'Vaginal Fingering', 'Vaginal Sex', 'Oral Sex', 'Anal Sex', 'Established Relationship', 'Polyamory Negotiations', 'Trash Talk In Bed', 'Bottom Table OT3']",English,Unknown,2023-09-05 00:00:00,3532,1/1,27,163,16,1043
188,9,Explicit,Creator Chose Not To Use Archive Warnings,"F/F, F/M, Multi",Candela Obscura,"['Sean Finnerty', 'Marion Collodi', 'Jinnah ""Jean"" Basar', 'Nathaniel Trapp (Mentioned)']","['Sean Finnerty/Marion Collodi/Jinnah ""Jean"" Basar', 'Sean Finnerty/Marion Collodi (implied)', 'Marion Collodi/Jinnah ""Jean"" Basar', 'Jinnah ""Jean"" Basar/Sean Finnerty']","['candela obscura - Freeform', 'Bottom Table OT3', 'Fantasy', 'Masturbation', 'Established Relationship', 'Sexual Fantasy', ""Fantasizing about your boyfriend?'s homoerotic war buddy"", 'Threesome - F/M/M', 'Vaginal Sex', 'Vaginal Fingering', 'Oral Sex', 'Magick Shennanigans', 'Bleed-releated-sex dreams', 'Not Beta Read']",English,Unknown,2023-09-05 00:00:00,2937,1/1,8,95,4,851
189,10,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['August ""Auggie"" James', 'Field Officer Aaron Weimer', 'Charlotte Eaves', 'Arlo Black (Candela Obscura)', 'Howard Margrove']",No relationships tagged,"['Kidnapping', 'Mild Hurt/Comfort', 'Interrogation', 'Canon-Typical Violence', 'Mild Language', 'Gun Violence', 'Threats of Violence', 'Auggie gets arrested by the OUP', 'Post-Canon', 'Aaron Weimer is the kind of guy I love to hate']",English,2023-09-05 00:00:00,2023-09-05 00:00:00,4394,1/1,3,47,2,279
190,11,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi', 'Nathaniel Trapp']",Sean Finnerty/Marion Collodi,"['Pre-Canon', 'Mental Health Issues', 'First Kiss', 'Emotional Hurt/Comfort', 'Pining']",English,2023-09-04 00:00:00,2023-09-04 00:00:00,2211,1/1,14,140,16,640
191,12,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty']",Sean Finnerty/Marion Collodi,"['Angst', 'Dreams and Nightmares', 'Emotional Hurt/Comfort', 'Unresolved Romantic Tension', 'There Was Only One Bed']",English,2023-09-04 00:00:00,2023-09-04 00:00:00,2243,1/1,20,243,27,1040
192,13,Teen And Up Audiences,Graphic Depictions Of Violence,Gen,Candela Obscura,"['Marion Collodi', 'Sean Finnerty', 'Nathaniel Trapp']",Marion Collodi & Sean Finnerty,"['Pre-Canon', 'Best Friends', 'Post-Traumatic Stress Disorder - PTSD', 'Post-War', 'Caretaking', 'Domestic Fluff', 'Light Angst', 'Blood and Violence', 'Mental Health Issues', 'Tenderness', 'Candela Obscura: Circle of the Needle and Thread (Critical Role)']",English,2023-09-04 00:00:00,2023-09-04 00:00:00,2388,1/1,10,62,12,403
193,14,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['Fluff and Angst', 'Episode: s02e01 Eye for an Eye (Candela Obscura)', 'Feelings', 'Late Night Conversations', 'Unresolved Romantic Tension']",English,2023-09-03 00:00:00,2023-09-03 00:00:00,972,1/1,8,81,4,428
194,15,Not Rated,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['candela obscura - Freeform', 'The Circle of Needle and Thread', 'Angst and Hurt/Comfort']",English,Unknown,2023-09-02 00:00:00,1874,1/1,12,127,14,662
195,16,Explicit,Creator Chose Not To Use Archive Warnings,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['Missing Scene', 'Episode: s02e01 Eye for an Eye (Candela Obscura)', 'Period-Typical Homophobia', 'Angst', 'Veterans', 'Getting Together', 'Trauma', 'Things Unsaid', 'Marion has always followed Sean', 'They Both Know This', 'Intimacy', 'How to tag honestly', 'no beta we die', 'Friends to Lovers', 'Porn with Feelings', 'Period Typical Attitudes', 'Period-Typical Sexism', '(men being weird about masculinity)', '(men being weird about vulnerability)', 'Resolved Sexual Tension', 'Firsts']",English,Unknown,2023-09-02 00:00:00,1919,1/1,20,207,26,1180
196,17,Teen And Up Audiences,No Archive Warnings Apply,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['Established Relationship', 'Angst', 'Hurt/Comfort', 'Emotional Hurt/Comfort', 'Angst and Hurt/Comfort', 'Trauma', 'Literal Sleeping Together', 'Prophetic Dreams', 'Canon']",English,2023-09-02 00:00:00,2023-09-02 00:00:00,1043,1/1,19,144,14,823
197,18,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Arlo Black (Candela Obscura)', 'August ""Auggie"" James', ""Arlo's Father""]","Arlo Black & August ""Auggie"" James","['Between Episodes', 'Gen or Pre-Slash', 'Class Differences', 'Fluff']",English,2023-09-01 00:00:00,2023-09-01 00:00:00,2158,1/1,5,78,13,450
198,19,Mature,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['Pre-Canon', 'War', 'The Circle of Needle and Thread']",English,Unknown,2023-09-01 00:00:00,3817,1/1,28,149,15,611
199,20,Teen And Up Audiences,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Sean Finnerty', 'Marion Collodi']",Sean Finnerty/Marion Collodi,"['Panic Attacks', 'Post-Traumatic Stress Disorder - PTSD', 'War']",English,2023-09-01 00:00:00,2023-09-01 00:00:00,641,1/1,14,119,13,816
200,1,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Arlo Black (Candela Obscura)', ""Arlo Black's Father (Candela Obscura)"", 'Alexandra (Candela Obscura)']",No relationships tagged,['Post-Canon'],English,2023-08-27 00:00:00,2023-08-27 00:00:00,2042,1/1,4,44,7,265
201,2,Not Rated,No Archive Warnings Apply,F/M,Candela Obscura,"['Arlo Black (Candela Obscura)', 'Howard Margrove', 'Eddie(mentioned)']","['Arlo Black & Howard Margrove', 'Arlo Black/August ""Auggie"" James']","['Canon typical body horror', 'talking to your sort of dad about your crush', 'But both of you aren’t very hinged', 'i wrote this all in one sitting on my phone with no WiFi', 'Because I needed to rotate Arlo in my mind', 'I tried really hard to make them as off putting and buckwild as they are in canon', 'But that’s kind of a high bar to clear', 'Which tells you how good the characters are']",English,Unknown,2023-08-05 00:00:00,2448,1/1,14,122,15,581
202,3,Explicit,Graphic Depictions Of Violence,F/M,Candela Obscura,"['Arlo Black (Candela Obscura)', 'August ""Auggie"" James', 'Charlotte Eaves', 'Howard Margrove']","['Arlo Black/August ""Auggie"" James', 'Arlo Black & Howard Margrove', 'August ""Auggie"" James & Charlotte Eaves', 'Charlotte Eaves & Arlo Black', 'August ""Auggie"" James & Howard Margrove']","['Post-Canon', 'Angst and Fluff and Smut', 'Trans August ""Auggie"" James', 'Hurt/Comfort', 'Trans Male Character', 'Post-Traumatic Stress Disorder - PTSD', 'Weirdly Wholesome Smut', 'Canon Disabled Character', 'healing as an act of love', 'Smut in separate chapter', 'so you can skip it', 'Night Terrors', 'this is my first time writing smut be nice']",English,Unknown,2023-08-02 00:00:00,4074,1/?,7,87,8,767
203,4,Teen And Up Audiences,Graphic Depictions Of Violence,Gen,Candela Obscura,"['Arlo Black (Candela Obscura)', 'Howard Margrove', 'Charlotte Eaves', 'August ""Auggie"" James']",Arlo Black & Howard Margrove,"['Paranormal Investigators', 'Aftermath of Violence', 'Consensual Possession', 'Post-Traumatic Stress Disorder - PTSD', 'Developing Relationship', 'Introspection', 'Team Dynamics', 'Team Bonding', 'Missing Scene', 'Post-Canon', 'Candela Obscura: The Circle of the Vassal and the Veil (Critical Role)']",English,2023-08-01 00:00:00,2023-08-01 00:00:00,2246,1/1,2,27,2,206
204,5,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Howard Margrove', 'Arlo Black (Candela Obscura)', 'Dean (Candela Obscura)']","['Howard Margrove & Dean (Candela Obscura)', 'Arlo Black & Howard Margrove']","['Spoilers Through Episode 2 of Candela Obscura', 'Just So Much Speculation And Worldbuilding', 'Mentions of Blood', 'Drug Use', 'Dreams', 'Near Drowning', 'Asexual Howard Margrove']",English,2023-07-16 00:00:00,2023-07-16 00:00:00,10933,1/1,1,25,6,233
205,6,General Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['August ""Auggie"" James', 'Arlo Black (Candela Obscura)', ""Arlo Black's Father"", 'Charlotte and Howard are only mentioned']","Arlo Black/August ""Auggie"" James","['Alternate Universe - Canon Divergence', 'Fluff', 'fake dating if you squint']",English,2023-07-13 00:00:00,2023-07-13 00:00:00,6200,1/1,15,223,31,1583
206,7,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,['Arlo Black (Candela Obscura)'],No relationships tagged,['Character Study'],English,2023-07-04 00:00:00,2023-07-04 00:00:00,2129,1/1,5,53,7,310
207,8,Explicit,No Archive Warnings Apply,F/M,Candela Obscura,"['Arlo Black (Candela Obscura)', 'August James (Candela Obscura)']",August 'Auggie' James/ Arlo Black,['Ftm August James'],English,Unknown,2023-07-03 00:00:00,6125,None,9,83,8,1259
208,9,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Arlo Black (Candela Obscura)', 'August ""Auggie"" James']","Arlo Black/August ""Auggie"" James","['Written post episode 2', 'First Kiss', 'Idk they flung the fake dating trope at me what was I supposed to do', 'Fluff', 'Flirting', ""the romanticism of holding your coat over someone's head in the rain""]",English,2023-07-02 00:00:00,2023-07-02 00:00:00,3378,1/1,48,332,49,1670
209,10,Teen And Up Audiences,No Archive Warnings Apply,F/M,Candela Obscura,"['Arlo Black (Candela Obscura)', 'Howard Margrove (Candela Obscura)']","['Arlo Black & Howard Margrove', 'Arlo Black/Howard Margrove']","['missing interlude', ""Blink and you'll miss it"", 'but the deserve to be soft']",English,2023-06-26 00:00:00,2023-06-26 00:00:00,1082,1/1,2,27,4,220
210,11,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,['Arlo Black'],No relationships tagged,['Character Study'],English,2023-05-26 00:00:00,2023-05-26 00:00:00,1129,1/1,12,67,2,461
