,index,Rating,Archive Warnings,Category,Fandom,Characters,Relationships,Additional Tags,Language,Date Published,Date Updated,Word Count,Chapter Count,Comment Count,Kudos Count,Bookmarks Count,Hits Count
150,11,Teen And Up Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Jinnah ""Jean"" Basar']",No relationships tagged,No additional tags,English,2023-09-30 00:00:00,2023-09-30 00:00:00,416,1/1,5,16,1,80
151,12,Mature,Graphic Depictions Of Violence,Gen,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi']",Marion Collodi & Sean Finnerty,"['Scars', 'Gunshot Wounds', 'Self-Sacrifice', 'Best Friends', 'Veterans', 'Tenderness', 'Caretaking', 'Pre-Canon', 'Aftermath of Violence', 'Blood and Violence', 'Gun Violence', 'Supernatural Elements']",English,Unknown,2023-09-30 00:00:00,2009,1/1,13,52,3,237
152,13,Mature,Graphic Depictions Of Violence,No category,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Nathaniel Trapp', 'Marion Collodi']",Sean Finnerty & Marion Collodi & Nathaniel Trapp,"['Ambiguous Relationships', 'Trench Warfare', 'Pre-Canon', 'Canon-Typical Violence']",English,Unknown,2023-09-30 00:00:00,8718,None,20,64,11,418
153,14,Mature,"['Graphic Depictions Of Violence, Major Character Death', 'Graphic Depictions Of Violence', 'Major Character Death']",No category,Candela Obscura,['Sean Finnerty (Candela Obscura)'],No relationships tagged,"['Angst', 'Post-Traumatic Stress Disorder - PTSD', 'Major Character Injury', 'Post Chapter 2: episode 2']",English,Unknown,2023-09-30 00:00:00,834,1/1,6,36,1,198
154,15,Mature,Graphic Depictions Of Violence,"F/M, M/M, Multi",Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Jinnah ""Jean"" Basar']","Jinnah ""Jean"" Basar/Marion Collodi/Sean Finnerty","['Blood and Injury', 'post chapter 2 episode 2', 'Fix-It', 'Polyamory', 'Hurt/Comfort', 'Implied Sexual Content', 'Fluff and Angst']",English,Unknown,2023-09-29 00:00:00,2597,1/1,17,113,16,642
155,16,Mature,No Archive Warnings Apply,F/M,Candela Obscura,"['Jinnah ""Jean"" Basar', 'Sean Finnerty (Candela Obscura)']","Jinnah ""Jean"" Basar/Sean Finnerty","['Breathplay', 'Dom/sub', 'Marion is present but like. BARELY']",English,Unknown,2023-09-29 00:00:00,1390,1/1,12,66,15,412
156,17,General Audiences,No Archive Warnings Apply,Gen,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi']",Marion Collodi & Sean Finnerty,"['Episode: s02e01 Eye for an Eye (Candela Obscura)', 'Episode Tag', 'Emotional Hurt/Comfort', ""(sorta? it's sean doing the comforting so who knows)"", 'How Do I Tag']",English,2023-09-28 00:00:00,2023-09-28 00:00:00,769,1/1,8,51,7,239
157,18,Teen And Up Audiences,Graphic Depictions Of Violence,Gen,Candela Obscura,"['Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Beatrix Monroe | Auntie Bee']",Marion Collodi & Sean Finnerty,"['Bedside Vigils', 'Hurt/Comfort', 'Best Friends', 'Blood and Injury', 'Canon-Typical Violence', 'Dialogue Heavy', 'Tooth-Rotting Fluff', 'Team Dynamics', 'Team as Family', 'Self-Sacrifice', 'Protectiveness', 'Veterans', 'Post-Traumatic Stress Disorder - PTSD', 'Teasing', 'Gallows Humor', 'Platonic Soulmates', 'Caretaking', 'Tenderness']",English,2023-09-28 00:00:00,2023-09-28 00:00:00,2903,1/1,16,55,8,344
158,19,Mature,No Archive Warnings Apply,Gen,Candela Obscura,"['Jinnah ""Jean"" Basar', 'Sean Finnerty (Candela Obscura)', 'Marion Collodi', 'Beatrix Monroe | Auntie Bee', 'Nathaniel Trapp']",No relationships tagged,"['Pre-Canon', 'Surgery', 'Medical Procedures', 'Blood and Gore', 'Post-Traumatic Stress Disorder - PTSD']",English,Unknown,2023-09-28 00:00:00,2524,1/1,18,91,11,419
159,20,Mature,Graphic Depictions Of Violence,M/M,Candela Obscura,"['Marion Collodi', 'Sean Finnerty (Candela Obscura)', 'Nathaniel Trapp', 'Jinnah ""Jean"" Basar', 'Beatrix Monroe | Auntie Bee']",Marion Collodi/Sean Finnerty,"['Circle of Needle and Thread (Candela Obscura)', 'Case Fic']",English,Unknown,2023-09-27 00:00:00,20268,None,61,179,24,1742
